INST_CODE, INST_CODE,PLACE,DIST,COED,TYPE,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,TUITION_FEE 2016,AFFILIATED,YEAR,EWS_BOYS,EWS_GIRLS,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,82736,82736,82736,82736,90516,90516,82736,82736,82736,82736,82736,82736,99638,99638,88850,88850,52000,JNTUH,2019,,,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,MEC,MECHANICAL ENGINEERING,54599,54599,54599,54599,54599,54599,54599,54599,86133,86133,54599,54599,98684,98684,90358,90358,52000,JNTUH,2019,,,
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,25896,30033,94915,94915,62795,62902,25896,89551,49839,49839,96454,96454,94677,97852,57144,57144,70000,JNTUH,2019,,,
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,33498,47826,90511,98659,94627,94627,69232,69232,70689,71237,94710,94710,95948,95948,93976,93976,70000,JNTUH,2019,,,
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,70000,JNTUH,2019,,,
ANRH,ANURAG COLLEGE OF ENGINEERING,GHTKESAR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,70000,JNTUH,2019,,,
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,CIV,CIVIL ENGINEERING,48389,74157,62783,74157,90253,90253,48389,74157,91114,91114,48389,74157,90755,90755,98441,98441,73000,JNTUH,2019,,,
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,62974,62974,84405,96268,85513,85513,71842,71842,69644,69644,92079,92079,91552,91552,94959,94959,73000,JNTUH,2019,,,
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,93062,93062,93062,93062,93062,93062,93062,93062,93062,93062,93062,93062,95908,95908,93062,93062,73000,JNTUH,2019,,,
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,81803,81803,81803,81803,81803,81803,81803,81803,81803,81803,81803,81803,99545,99545,81803,83925,73000,JNTUH,2019,,,
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,MEC,MECHANICAL ENGINEERING,53143,53143,53143,53143,76322,82866,53143,53143,53143,53143,90052,90052,90621,91123,80545,80545,73000,JNTUH,2019,,,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,CIV,CIVIL ENGINEERING,65332,65332,65332,65332,65332,65332,65332,65332,65332,65332,65332,65332,65332,65332,76969,86352,57000,JNTUH,2019,,,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,69661,81983,88148,94901,98186,98729,69661,81983,97770,97770,69661,81983,92879,95020,85903,85903,57000,JNTUH,2019,,,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,24939,24939,87440,87440,24939,24939,24939,24939,24939,24939,24939,24939,24939,64748,24939,24939,57000,JNTUH,2019,,,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,72373,72373,72373,72373,72373,72373,72373,72373,72373,72373,72373,72373,72373,90822,97490,97490,57000,JNTUH,2019,,,
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,57000,JNTUH,2019,,,
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,CIV,CIVIL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,65000,JNTUH,2019,,,
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,61483,64306,88658,88658,94937,94937,61483,64306,88336,96738,93134,97899,93222,93222,89963,89963,65000,JNTUH,2019,,,
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,79617,79617,87842,87842,94541,94541,79617,79617,86027,95647,79617,79617,92906,92906,98478,98478,65000,JNTUH,2019,,,
